R,G,B,RÓTULO,GRUPO
4,146,160,harmonico,863
13,142,154,harmonico,863
-10,141,157,harmonico,863
166,98,167,harmonico,864
175,95,168,harmonico,864
183,114,154,harmonico,864
214,239,83,harmonico,865
209,248,88,harmonico,865
217,253,63,harmonico,865
138,72,133,harmonico,866
136,62,129,harmonico,866
155,52,152,harmonico,866
99,53,72,harmonico,867
108,59,66,harmonico,867
117,50,89,harmonico,867
169,156,0,harmonico,868
160,161,-5,harmonico,868
175,157,17,harmonico,868
128,157,243,harmonico,869
133,160,233,harmonico,869
109,154,242,harmonico,869
233,64,127,harmonico,870
225,74,121,harmonico,870
246,54,122,harmonico,870
53,164,31,harmonico,871
62,161,40,harmonico,871
63,147,13,harmonico,871
1,131,253,harmonico,872
5,121,254,harmonico,872
-1,148,242,harmonico,872
228,5,155,harmonico,873
236,10,153,harmonico,873
209,10,140,harmonico,873
214,139,251,harmonico,874
215,132,244,harmonico,874
207,137,242,harmonico,874
81,178,170,harmonico,875
82,168,176,harmonico,875
89,175,186,harmonico,875
224,58,229,harmonico,876
224,61,234,harmonico,876
235,50,249,harmonico,876
46,124,38,harmonico,877
56,116,48,harmonico,877
52,138,25,harmonico,877
159,138,21,harmonico,878
166,139,20,harmonico,878
166,141,8,harmonico,878
86,166,165,harmonico,879
95,166,161,harmonico,879
76,150,174,harmonico,879
0,7,85,harmonico,880
-1,14,89,harmonico,880
6,22,99,harmonico,880
144,134,72,harmonico,881
148,135,65,harmonico,881
162,121,79,harmonico,881
77,240,211,harmonico,882
71,243,201,harmonico,882
64,231,231,harmonico,882
47,247,47,harmonico,883
38,237,45,harmonico,883
38,232,43,harmonico,883
120,182,161,harmonico,884
124,172,155,harmonico,884
128,180,151,harmonico,884
196,121,177,harmonico,885
187,122,171,harmonico,885
186,118,177,harmonico,885
13,203,163,harmonico,886
15,205,160,harmonico,886
-5,220,162,harmonico,886
231,215,158,harmonico,887
230,223,160,harmonico,887
220,220,151,harmonico,887
196,233,55,harmonico,888
206,225,61,harmonico,888
201,252,49,harmonico,888
174,186,26,harmonico,889
169,176,33,harmonico,889
164,184,10,harmonico,889
21,42,31,harmonico,890
16,33,30,harmonico,890
11,38,42,harmonico,890
169,1,6,harmonico,891
177,0,-4,harmonico,891
188,-19,17,harmonico,891
177,115,1,harmonico,892
177,115,7,harmonico,892
169,101,8,harmonico,892
171,160,53,harmonico,893
179,150,44,harmonico,893
189,160,53,harmonico,893
152,202,4,harmonico,894
147,208,-6,harmonico,894
153,183,1,harmonico,894
58,185,137,harmonico,895
56,188,142,harmonico,895
45,188,124,harmonico,895
132,201,179,harmonico,896
124,199,170,harmonico,896
149,205,164,harmonico,896
147,247,100,harmonico,897
137,249,97,harmonico,897
158,255,80,harmonico,897
13,188,179,harmonico,898
11,197,179,harmonico,898
30,184,193,harmonico,898
206,106,128,harmonico,899
200,104,119,harmonico,899
196,95,142,harmonico,899
106,119,30,harmonico,900
97,124,23,harmonico,900
100,135,32,harmonico,900
179,191,36,harmonico,901
169,195,33,harmonico,901
164,208,34,harmonico,901
217,143,3,harmonico,902
226,150,-7,harmonico,902
207,130,-9,harmonico,902
135,138,147,harmonico,903
132,139,154,harmonico,903
118,136,141,harmonico,903
10,77,186,harmonico,904
1,74,188,harmonico,904
17,57,178,harmonico,904
173,4,101,harmonico,905
165,14,102,harmonico,905
179,-4,111,harmonico,905
214,142,177,harmonico,906
204,136,170,harmonico,906
218,128,160,harmonico,906
93,141,168,harmonico,907
96,131,173,harmonico,907
102,144,179,harmonico,907
71,117,0,harmonico,908
78,110,10,harmonico,908
75,106,20,harmonico,908
204,224,130,harmonico,909
197,217,135,harmonico,909
211,211,146,harmonico,909
82,199,15,harmonico,910
82,203,6,harmonico,910
73,211,14,harmonico,910
216,61,74,harmonico,911
222,53,65,harmonico,911
201,60,80,harmonico,911
152,81,233,harmonico,912
149,74,238,harmonico,912
162,92,219,harmonico,912
31,11,110,harmonico,913
27,15,105,harmonico,913
45,22,118,harmonico,913
58,206,36,harmonico,914
59,211,32,harmonico,914
68,214,42,harmonico,914
119,120,44,harmonico,915
111,114,43,harmonico,915
131,135,41,harmonico,915
117,173,235,harmonico,916
121,178,238,harmonico,916
126,162,253,harmonico,916
101,113,42,harmonico,917
111,115,47,harmonico,917
97,100,55,harmonico,917
129,219,63,harmonico,918
127,220,69,harmonico,918
120,239,71,harmonico,918
202,163,119,harmonico,919
212,162,113,harmonico,919
189,155,130,harmonico,919
116,168,60,harmonico,920
115,176,57,harmonico,920
129,174,69,harmonico,920
201,41,235,harmonico,921
203,48,226,harmonico,921
209,53,238,harmonico,921
123,155,100,harmonico,922
119,153,106,harmonico,922
125,153,109,harmonico,922
229,173,64,harmonico,923
233,164,71,harmonico,923
212,156,60,harmonico,923
124,37,113,harmonico,924
120,33,109,harmonico,924
137,46,129,harmonico,924
3,130,114,harmonico,925
7,133,112,harmonico,925
-10,112,104,harmonico,925
209,9,196,harmonico,926
219,1,191,harmonico,926
199,14,198,harmonico,926
145,114,95,harmonico,927
135,105,97,harmonico,927
153,104,92,harmonico,927
220,89,68,harmonico,928
219,80,62,harmonico,928
219,107,57,harmonico,928
225,206,234,harmonico,929
232,206,226,harmonico,929
237,205,247,harmonico,929
201,66,143,harmonico,930
193,57,146,harmonico,930
207,83,159,harmonico,930
184,231,218,harmonico,931
177,222,221,harmonico,931
197,225,214,harmonico,931
7,126,211,harmonico,932
10,117,219,harmonico,932
-7,116,212,harmonico,932
219,80,151,harmonico,933
214,85,146,harmonico,933
239,86,145,harmonico,933
159,199,238,harmonico,934
165,197,245,harmonico,934
164,189,255,harmonico,934
195,82,201,harmonico,935
199,73,201,harmonico,935
185,101,189,harmonico,935
17,222,152,harmonico,936
19,228,142,harmonico,936
26,216,168,harmonico,936
5,87,207,harmonico,937
15,82,205,harmonico,937
14,67,225,harmonico,937
152,104,24,harmonico,938
158,96,24,harmonico,938
150,119,41,harmonico,938
237,169,93,harmonico,939
237,162,101,harmonico,939
243,189,99,harmonico,939
88,12,86,harmonico,940
98,6,88,harmonico,940
93,14,87,harmonico,940
122,247,2,harmonico,941
122,246,2,harmonico,941
115,240,-16,harmonico,941
148,8,139,harmonico,942
151,1,138,harmonico,942
158,19,156,harmonico,942
223,137,33,harmonico,943
218,128,40,harmonico,943
233,136,29,harmonico,943
54,228,30,harmonico,944
47,230,38,harmonico,944
41,231,13,harmonico,944
140,121,131,harmonico,945
150,120,135,harmonico,945
157,135,121,harmonico,945
76,143,111,harmonico,946
78,147,116,harmonico,946
58,143,96,harmonico,946
82,226,117,harmonico,947
72,223,125,harmonico,947
83,246,127,harmonico,947
227,16,242,harmonico,948
225,8,250,harmonico,948
210,26,224,harmonico,948
203,13,14,harmonico,949
210,4,19,harmonico,949
187,-6,-1,harmonico,949
244,5,127,harmonico,950
239,7,124,harmonico,950
245,7,131,harmonico,950
114,32,3,harmonico,951
112,28,-1,harmonico,951
110,35,-17,harmonico,951
219,7,14,harmonico,952
210,11,10,harmonico,952
203,-4,25,harmonico,952
146,176,80,harmonico,953
148,183,77,harmonico,953
156,178,65,harmonico,953
218,88,7,harmonico,954
223,95,9,harmonico,954
225,78,-13,harmonico,954
192,204,133,harmonico,955
189,194,135,harmonico,955
181,205,142,harmonico,955
19,134,160,harmonico,956
22,125,152,harmonico,956
9,127,140,harmonico,956
156,235,124,harmonico,957
147,242,130,harmonico,957
152,240,114,harmonico,957
13,75,15,harmonico,958
16,79,11,harmonico,958
3,91,34,harmonico,958
218,17,214,harmonico,959
210,23,209,harmonico,959
212,8,195,harmonico,959
54,57,146,harmonico,960
45,66,142,harmonico,960
68,54,144,harmonico,960
145,106,218,harmonico,961
139,112,223,harmonico,961
157,121,209,harmonico,961
144,231,25,harmonico,962
145,222,29,harmonico,962
134,216,25,harmonico,962
116,3,95,harmonico,963
116,13,97,harmonico,963
99,6,102,harmonico,963
214,84,91,harmonico,964
214,75,83,harmonico,964
204,89,71,harmonico,964
60,55,126,harmonico,965
69,49,126,harmonico,965
76,63,146,harmonico,965
230,195,227,harmonico,966
239,205,223,harmonico,966
236,202,220,harmonico,966
34,216,85,harmonico,967
42,216,95,harmonico,967
35,217,83,harmonico,967
166,152,71,harmonico,968
174,160,63,harmonico,968
166,147,61,harmonico,968
38,61,252,harmonico,969
45,65,255,harmonico,969
20,58,255,harmonico,969
20,36,250,harmonico,970
15,31,240,harmonico,970
17,43,241,harmonico,970
9,145,8,harmonico,971
19,151,15,harmonico,971
-11,147,12,harmonico,971
122,23,52,harmonico,972
129,28,44,harmonico,972
104,31,68,harmonico,972
239,175,55,harmonico,973
248,178,53,harmonico,973
227,192,55,harmonico,973
162,23,79,harmonico,974
164,33,85,harmonico,974
150,43,85,harmonico,974
189,71,103,harmonico,975
186,78,113,harmonico,975
189,74,99,harmonico,975
134,197,192,harmonico,976
142,188,195,harmonico,976
151,181,177,harmonico,976
84,93,21,harmonico,977
78,85,25,harmonico,977
98,97,18,harmonico,977
216,71,243,harmonico,978
225,74,242,harmonico,978
199,79,255,harmonico,978
59,172,119,harmonico,979
58,166,114,harmonico,979
75,192,106,harmonico,979
48,35,89,harmonico,980
58,37,88,harmonico,980
49,16,105,harmonico,980
78,74,200,harmonico,981
83,64,210,harmonico,981
81,63,193,harmonico,981
95,202,141,harmonico,982
97,200,144,harmonico,982
98,210,156,harmonico,982
18,139,56,harmonico,983
14,140,60,harmonico,983
13,157,69,harmonico,983
31,79,4,harmonico,984
21,84,3,harmonico,984
51,92,5,harmonico,984
111,43,14,harmonico,985
117,51,16,harmonico,985
110,41,32,harmonico,985
253,168,219,harmonico,986
252,167,227,harmonico,986
251,149,239,harmonico,986
239,12,119,harmonico,987
239,13,117,harmonico,987
225,5,115,harmonico,987
216,198,195,harmonico,988
219,207,197,harmonico,988
196,207,196,harmonico,988
161,215,7,harmonico,989
168,206,17,harmonico,989
152,221,24,harmonico,989
3,64,65,harmonico,990
12,67,59,harmonico,990
4,61,83,harmonico,990
201,116,3,harmonico,991
205,108,-6,harmonico,991
210,136,16,harmonico,991
96,242,184,harmonico,992
94,244,184,harmonico,992
95,223,197,harmonico,992
30,5,134,harmonico,993
38,-4,129,harmonico,993
38,12,129,harmonico,993
189,225,7,harmonico,994
189,233,-3,harmonico,994
201,238,14,harmonico,994
235,126,58,harmonico,995
232,129,57,harmonico,995
217,139,54,harmonico,995
59,54,33,harmonico,996
58,57,33,harmonico,996
76,53,52,harmonico,996
79,70,120,harmonico,997
72,79,127,harmonico,997
66,87,108,harmonico,997
194,205,62,harmonico,998
186,210,63,harmonico,998
188,224,55,harmonico,998
99,88,70,harmonico,999
105,98,64,harmonico,999
88,105,75,harmonico,999
121,90,74,harmonico,1000
123,84,82,harmonico,1000
124,96,76,harmonico,1000
5,132,146,harmonico,1001
13,141,139,harmonico,1001
-3,149,159,harmonico,1001
2,39,220,harmonico,1002
6,32,216,harmonico,1002
-10,30,234,harmonico,1002
73,58,56,harmonico,1003
77,64,56,harmonico,1003
76,42,45,harmonico,1003
121,179,207,harmonico,1004
119,184,217,harmonico,1004
134,187,227,harmonico,1004
138,127,68,harmonico,1005
138,131,71,harmonico,1005
124,141,62,harmonico,1005
248,80,50,harmonico,1006
238,79,41,harmonico,1006
240,61,64,harmonico,1006
208,3,12,harmonico,1007
212,-2,22,harmonico,1007
228,17,0,harmonico,1007
168,211,222,harmonico,1008
162,203,224,harmonico,1008
164,195,242,harmonico,1008
2,109,28,harmonico,1009
-8,105,38,harmonico,1009
21,101,43,harmonico,1009
0,141,129,harmonico,1010
6,141,120,harmonico,1010
-12,156,136,harmonico,1010
215,97,216,harmonico,1011
216,106,209,harmonico,1011
196,91,235,harmonico,1011
123,145,88,harmonico,1012
131,140,88,harmonico,1012
123,127,96,harmonico,1012
55,22,201,harmonico,1013
54,15,198,harmonico,1013
52,4,205,harmonico,1013
98,64,14,harmonico,1014
106,61,5,harmonico,1014
106,65,31,harmonico,1014
174,87,246,harmonico,1015
169,87,249,harmonico,1015
158,106,255,harmonico,1015
180,133,236,harmonico,1016
190,129,234,harmonico,1016
191,140,222,harmonico,1016
238,202,254,harmonico,1017
241,210,248,harmonico,1017
219,203,255,harmonico,1017
31,169,143,harmonico,1018
29,164,133,harmonico,1018
36,162,150,harmonico,1018
109,217,225,harmonico,1019
104,221,235,harmonico,1019
98,225,213,harmonico,1019
23,124,92,harmonico,1020
21,117,89,harmonico,1020
35,124,83,harmonico,1020
0,127,81,harmonico,1021
9,123,88,harmonico,1021
8,107,96,harmonico,1021
1,0,58,harmonico,1022
9,9,66,harmonico,1022
3,-2,74,harmonico,1022
248,238,179,harmonico,1023
238,248,177,harmonico,1023
240,241,170,harmonico,1023
64,219,175,harmonico,1024
66,210,171,harmonico,1024
69,238,187,harmonico,1024
117,25,55,harmonico,1025
122,20,65,harmonico,1025
131,22,63,harmonico,1025
77,243,34,harmonico,1026
76,245,36,harmonico,1026
96,228,54,harmonico,1026
38,43,111,harmonico,1027
42,39,111,harmonico,1027
54,54,123,harmonico,1027
155,213,154,harmonico,1028
165,203,146,harmonico,1028
167,203,136,harmonico,1028
63,57,75,harmonico,1029
57,55,82,harmonico,1029
66,74,74,harmonico,1029
221,64,35,harmonico,1030
211,67,34,harmonico,1030
234,46,24,harmonico,1030
242,168,200,harmonico,1031
242,169,190,harmonico,1031
235,158,218,harmonico,1031
209,221,203,harmonico,1032
199,224,212,harmonico,1032
199,220,214,harmonico,1032
158,47,97,harmonico,1033
156,42,96,harmonico,1033
161,45,117,harmonico,1033
221,124,22,harmonico,1034
213,115,32,harmonico,1034
235,110,8,harmonico,1034
139,83,113,harmonico,1035
144,74,110,harmonico,1035
141,84,120,harmonico,1035
89,108,212,harmonico,1036
80,109,219,harmonico,1036
81,123,207,harmonico,1036
80,221,134,harmonico,1037
87,220,138,harmonico,1037
91,238,144,harmonico,1037
10,201,245,harmonico,1038
9,196,245,harmonico,1038
29,188,234,harmonico,1038
79,176,151,harmonico,1039
82,177,159,harmonico,1039
97,194,148,harmonico,1039
142,133,156,harmonico,1040
135,139,151,harmonico,1040
124,113,136,harmonico,1040
151,74,13,harmonico,1041
159,72,22,harmonico,1041
135,55,29,harmonico,1041
214,15,91,harmonico,1042
208,18,98,harmonico,1042
204,-4,90,harmonico,1042
52,166,158,harmonico,1043
60,161,158,harmonico,1043
48,169,178,harmonico,1043
229,40,99,harmonico,1044
232,45,93,harmonico,1044
216,36,93,harmonico,1044
44,10,132,harmonico,1045
44,9,123,harmonico,1045
49,7,123,harmonico,1045
156,22,143,harmonico,1046
159,21,150,harmonico,1046
162,22,153,harmonico,1046
177,251,57,harmonico,1047
170,253,65,harmonico,1047
157,255,43,harmonico,1047
83,6,43,harmonico,1048
83,-1,46,harmonico,1048
73,17,57,harmonico,1048
242,79,164,harmonico,1049
242,78,154,harmonico,1049
248,76,164,harmonico,1049
179,201,98,harmonico,1050
177,211,92,harmonico,1050
187,182,80,harmonico,1050
183,195,153,harmonico,1051
191,203,159,harmonico,1051
194,189,138,harmonico,1051
207,81,218,harmonico,1052
211,86,209,harmonico,1052
209,95,204,harmonico,1052
179,48,32,harmonico,1053
172,43,24,harmonico,1053
178,65,20,harmonico,1053
76,204,231,harmonico,1054
71,214,229,harmonico,1054
85,215,224,harmonico,1054
111,237,37,harmonico,1055
120,239,45,harmonico,1055
127,230,54,harmonico,1055
18,61,237,harmonico,1056
13,54,233,harmonico,1056
18,45,229,harmonico,1056
167,168,120,harmonico,1057
157,176,128,harmonico,1057
166,185,136,harmonico,1057
197,241,141,harmonico,1058
189,250,136,harmonico,1058
212,252,128,harmonico,1058
93,199,233,harmonico,1059
87,203,223,harmonico,1059
86,198,231,harmonico,1059
81,168,77,harmonico,1060
87,170,80,harmonico,1060
83,170,63,harmonico,1060
84,23,105,harmonico,1061
75,28,114,harmonico,1061
86,3,123,harmonico,1061
234,183,179,harmonico,1062
236,182,180,harmonico,1062
249,166,199,harmonico,1062
125,0,120,harmonico,1063
120,7,118,harmonico,1063
145,17,104,harmonico,1063
63,14,8,harmonico,1064
70,13,2,harmonico,1064
82,34,-7,harmonico,1064
192,167,37,harmonico,1065
194,174,29,harmonico,1065
202,166,47,harmonico,1065
132,160,157,harmonico,1066
133,154,155,harmonico,1066
117,148,171,harmonico,1066
209,192,15,harmonico,1067
213,193,25,harmonico,1067
209,187,10,harmonico,1067
161,48,0,harmonico,1068
151,45,9,harmonico,1068
168,37,-15,harmonico,1068
183,242,200,harmonico,1069
177,241,199,harmonico,1069
176,241,182,harmonico,1069
217,99,27,harmonico,1070
220,90,35,harmonico,1070
227,86,37,harmonico,1070
160,33,197,harmonico,1071
161,33,196,harmonico,1071
176,39,209,harmonico,1071
153,20,232,harmonico,1072
157,13,238,harmonico,1072
147,15,247,harmonico,1072
22,96,225,harmonico,1073
32,93,217,harmonico,1073
42,85,211,harmonico,1073
155,253,12,harmonico,1074
155,255,16,harmonico,1074
145,236,13,harmonico,1074
65,136,26,harmonico,1075
67,143,21,harmonico,1075
81,140,17,harmonico,1075
50,32,16,harmonico,1076
52,41,12,harmonico,1076
45,49,24,harmonico,1076
117,161,77,harmonico,1077
122,167,79,harmonico,1077
127,175,63,harmonico,1077
94,19,59,harmonico,1078
101,23,57,harmonico,1078
78,26,66,harmonico,1078
254,197,28,harmonico,1079
255,196,36,harmonico,1079
240,195,13,harmonico,1079
68,208,234,harmonico,1080
66,218,232,harmonico,1080
56,211,215,harmonico,1080
195,168,107,harmonico,1081
185,178,100,harmonico,1081
212,178,92,harmonico,1081
67,91,37,harmonico,1082
59,83,39,harmonico,1082
62,89,40,harmonico,1082
38,3,141,harmonico,1083
39,-7,135,harmonico,1083
28,2,154,harmonico,1083
35,172,31,harmonico,1084
37,177,41,harmonico,1084
38,153,12,harmonico,1084
141,60,251,harmonico,1085
142,59,255,harmonico,1085
155,50,255,harmonico,1085
238,192,153,harmonico,1086
240,199,163,harmonico,1086
227,174,153,harmonico,1086
54,47,55,harmonico,1087
50,57,45,harmonico,1087
40,61,64,harmonico,1087
114,193,0,harmonico,1088
108,186,4,harmonico,1088
125,196,-10,harmonico,1088
24,48,15,harmonico,1089
23,41,21,harmonico,1089
24,59,22,harmonico,1089
112,178,28,harmonico,1090
103,180,34,harmonico,1090
117,161,14,harmonico,1090
120,231,198,harmonico,1091
112,238,199,harmonico,1091
139,234,214,harmonico,1091
20,197,105,harmonico,1092
18,200,114,harmonico,1092
10,196,86,harmonico,1092
79,159,197,harmonico,1093
83,158,206,harmonico,1093
79,178,198,harmonico,1093
187,136,93,harmonico,1094
177,130,87,harmonico,1094
186,123,111,harmonico,1094
134,137,206,harmonico,1095
143,135,201,harmonico,1095
121,126,213,harmonico,1095
247,138,169,harmonico,1096
255,132,173,harmonico,1096
255,144,179,harmonico,1096
222,8,63,harmonico,1097
225,17,72,harmonico,1097
211,12,78,harmonico,1097
44,26,55,harmonico,1098
35,35,49,harmonico,1098
32,37,39,harmonico,1098
104,2,116,harmonico,1099
97,11,110,harmonico,1099
87,13,129,harmonico,1099
241,197,73,harmonico,1100
245,198,65,harmonico,1100
237,207,62,harmonico,1100
205,33,227,harmonico,1101
197,38,223,harmonico,1101
205,44,208,harmonico,1101
65,27,156,harmonico,1102
72,22,158,harmonico,1102
75,35,167,harmonico,1102
128,4,150,harmonico,1103
118,14,142,harmonico,1103
118,4,137,harmonico,1103
184,137,116,harmonico,1104
190,145,113,harmonico,1104
193,145,107,harmonico,1104
109,179,103,harmonico,1105
100,174,107,harmonico,1105
118,194,118,harmonico,1105
54,90,44,harmonico,1106
54,90,54,harmonico,1106
54,77,62,harmonico,1106
186,180,39,harmonico,1107
182,188,48,harmonico,1107
190,189,32,harmonico,1107
96,241,88,harmonico,1108
103,236,82,harmonico,1108
76,240,72,harmonico,1108
95,191,84,harmonico,1109
104,193,92,harmonico,1109
90,185,64,harmonico,1109
38,33,91,harmonico,1110
41,33,88,harmonico,1110
56,35,87,harmonico,1110
233,255,130,harmonico,1111
223,255,138,harmonico,1111
218,255,126,harmonico,1111
98,139,3,harmonico,1112
95,138,-6,harmonico,1112
105,151,18,harmonico,1112
231,39,98,harmonico,1113
232,33,88,harmonico,1113
212,53,107,harmonico,1113
193,46,73,harmonico,1114
183,36,70,harmonico,1114
197,49,65,harmonico,1114
128,76,32,harmonico,1115
130,80,37,harmonico,1115
123,96,44,harmonico,1115
230,62,130,harmonico,1116
220,65,136,harmonico,1116
239,79,116,harmonico,1116
120,13,47,harmonico,1117
116,17,41,harmonico,1117
114,1,60,harmonico,1117
141,163,170,harmonico,1118
135,159,169,harmonico,1118
155,174,163,harmonico,1118
233,61,201,harmonico,1119
227,57,202,harmonico,1119
238,52,208,harmonico,1119
17,203,19,harmonico,1120
27,202,19,harmonico,1120
6,217,34,harmonico,1120
219,18,223,harmonico,1121
228,9,229,harmonico,1121
239,37,219,harmonico,1121
84,176,126,harmonico,1122
80,180,136,harmonico,1122
74,161,138,harmonico,1122
217,171,46,harmonico,1123
212,181,38,harmonico,1123
207,164,30,harmonico,1123
229,148,225,harmonico,1124
238,145,223,harmonico,1124
231,161,233,harmonico,1124
72,164,234,harmonico,1125
62,154,239,harmonico,1125
70,159,233,harmonico,1125
109,218,58,harmonico,1126
100,226,66,harmonico,1126
89,232,62,harmonico,1126
201,211,123,harmonico,1127
192,215,133,harmonico,1127
203,201,118,harmonico,1127
32,173,61,harmonico,1128
30,178,62,harmonico,1128
43,189,70,harmonico,1128
158,2,25,harmonico,1129
149,6,15,harmonico,1129
156,-2,28,harmonico,1129
151,7,238,harmonico,1130
158,8,230,harmonico,1130
167,4,242,harmonico,1130
255,238,3,harmonico,1131
255,228,10,harmonico,1131
247,255,11,harmonico,1131
91,30,81,harmonico,1132
88,26,77,harmonico,1132
89,45,101,harmonico,1132
225,62,238,harmonico,1133
215,70,244,harmonico,1133
219,81,233,harmonico,1133
118,82,99,harmonico,1134
124,86,89,harmonico,1134
123,88,114,harmonico,1134
177,71,134,harmonico,1135
182,67,134,harmonico,1135
173,76,140,harmonico,1135
192,130,138,harmonico,1136
186,139,147,harmonico,1136
172,133,139,harmonico,1136
68,217,37,harmonico,1137
62,209,38,harmonico,1137
74,224,33,harmonico,1137
250,63,194,harmonico,1138
255,72,204,harmonico,1138
252,60,183,harmonico,1138
1,92,237,harmonico,1139
7,98,235,harmonico,1139
0,85,228,harmonico,1139
55,67,128,harmonico,1140
63,71,122,harmonico,1140
61,56,129,harmonico,1140
245,204,151,harmonico,1141
238,211,147,harmonico,1141
255,197,149,harmonico,1141
83,89,227,harmonico,1142
77,99,237,harmonico,1142
80,73,229,harmonico,1142
251,147,125,harmonico,1143
246,138,115,harmonico,1143
255,149,128,harmonico,1143
203,53,61,harmonico,1144
209,59,71,harmonico,1144
209,57,66,harmonico,1144
243,184,92,harmonico,1145
249,180,102,harmonico,1145
255,165,105,harmonico,1145
119,18,106,harmonico,1146
118,19,116,harmonico,1146
134,28,91,harmonico,1146
138,156,227,harmonico,1147
132,152,230,harmonico,1147
146,148,209,harmonico,1147
129,226,31,harmonico,1148
130,232,25,harmonico,1148
117,228,45,harmonico,1148
120,18,83,harmonico,1149
113,26,85,harmonico,1149
114,38,94,harmonico,1149
189,47,28,harmonico,1150
181,46,27,harmonico,1150
174,46,36,harmonico,1150
100,21,41,harmonico,1151
97,14,45,harmonico,1151
91,39,29,harmonico,1151
152,248,54,harmonico,1152
160,253,47,harmonico,1152
136,236,48,harmonico,1152
3,183,69,harmonico,1153
-2,191,68,harmonico,1153
13,166,49,harmonico,1153
241,146,38,harmonico,1154
243,137,41,harmonico,1154
226,140,57,harmonico,1154
181,229,255,harmonico,1155
182,235,255,harmonico,1155
166,224,235,harmonico,1155
179,184,56,harmonico,1156
178,176,53,harmonico,1156
163,203,62,harmonico,1156
31,25,154,harmonico,1157
33,21,150,harmonico,1157
29,41,159,harmonico,1157
150,246,131,harmonico,1158
145,246,130,harmonico,1158
170,245,144,harmonico,1158
67,214,87,harmonico,1159
72,220,97,harmonico,1159
85,204,86,harmonico,1159
27,232,164,harmonico,1160
26,230,157,harmonico,1160
20,220,155,harmonico,1160
229,131,133,harmonico,1161
234,131,129,harmonico,1161
239,118,124,harmonico,1161
214,240,144,harmonico,1162
207,242,153,harmonico,1162
216,234,160,harmonico,1162
87,134,177,harmonico,1163
87,144,168,harmonico,1163
86,141,169,harmonico,1163
164,26,49,harmonico,1164
160,33,53,harmonico,1164
153,13,39,harmonico,1164
1,126,188,harmonico,1165
-3,136,178,harmonico,1165
8,131,169,harmonico,1165
223,82,41,harmonico,1166
220,75,49,harmonico,1166
226,94,41,harmonico,1166
231,29,232,harmonico,1167
225,29,223,harmonico,1167
229,20,220,harmonico,1167
251,93,171,harmonico,1168
255,86,166,harmonico,1168
248,111,167,harmonico,1168
113,210,41,harmonico,1169
121,220,38,harmonico,1169
97,230,24,harmonico,1169
135,209,18,harmonico,1170
143,204,8,harmonico,1170
131,201,22,harmonico,1170
128,101,215,harmonico,1171
132,94,206,harmonico,1171
112,93,225,harmonico,1171
200,164,179,harmonico,1172
206,158,188,harmonico,1172
182,182,187,harmonico,1172
40,146,74,harmonico,1173
33,142,81,harmonico,1173
38,153,68,harmonico,1173
37,10,44,harmonico,1174
34,3,44,harmonico,1174
53,16,63,harmonico,1174
73,60,212,harmonico,1175
80,59,221,harmonico,1175
92,40,212,harmonico,1175
144,117,68,harmonico,1176
149,109,66,harmonico,1176
144,118,77,harmonico,1176
3,228,226,harmonico,1177
0,231,230,harmonico,1177
-9,235,226,harmonico,1177
164,158,153,harmonico,1178
167,160,152,harmonico,1178
146,155,155,harmonico,1178
245,36,188,harmonico,1179
236,41,181,harmonico,1179
233,41,197,harmonico,1179
136,226,48,harmonico,1180
133,224,55,harmonico,1180
154,212,31,harmonico,1180
117,132,234,harmonico,1181
122,122,241,harmonico,1181
135,140,248,harmonico,1181
83,65,164,harmonico,1182
89,69,169,harmonico,1182
83,50,168,harmonico,1182
154,110,123,harmonico,1183
147,104,115,harmonico,1183
170,103,135,harmonico,1183
120,162,101,harmonico,1184
117,162,105,harmonico,1184
119,160,103,harmonico,1184
169,185,73,harmonico,1185
163,193,68,harmonico,1185
152,186,82,harmonico,1185
230,230,7,harmonico,1186
232,224,4,harmonico,1186
242,242,-5,harmonico,1186
166,139,15,harmonico,1187
159,138,20,harmonico,1187
155,119,16,harmonico,1187
253,166,67,harmonico,1188
244,163,68,harmonico,1188
250,181,70,harmonico,1188
121,35,181,harmonico,1189
129,44,180,harmonico,1189
121,37,176,harmonico,1189
135,175,247,harmonico,1190
142,185,249,harmonico,1190
119,166,239,harmonico,1190
247,93,118,harmonico,1191
248,92,117,harmonico,1191
227,81,136,harmonico,1191
249,115,196,harmonico,1192
255,116,188,harmonico,1192
255,100,213,harmonico,1192
144,207,66,harmonico,1193
152,200,73,harmonico,1193
150,217,72,harmonico,1193
123,20,189,harmonico,1194
131,24,193,harmonico,1194
136,19,208,harmonico,1194
83,128,244,harmonico,1195
93,122,247,harmonico,1195
92,131,237,harmonico,1195
146,138,132,harmonico,1196
155,129,126,harmonico,1196
162,146,137,harmonico,1196
43,207,243,harmonico,1197
39,207,248,harmonico,1197
27,196,246,harmonico,1197
25,67,4,harmonico,1198
23,69,12,harmonico,1198
35,65,18,harmonico,1198
116,82,190,harmonico,1199
114,84,200,harmonico,1199
118,84,190,harmonico,1199
25,8,114,harmonico,1200
29,1,112,harmonico,1200
29,21,128,harmonico,1200
125,88,165,harmonico,1201
122,81,167,harmonico,1201
132,101,159,harmonico,1201
202,231,131,harmonico,1202
193,226,131,harmonico,1202
190,249,117,harmonico,1202
191,93,190,harmonico,1203
199,94,191,harmonico,1203
207,91,208,harmonico,1203
61,185,62,harmonico,1204
57,195,57,harmonico,1204
